SYMBOL,CONCHAR,CONTRACT,DATABRON,DATUM,tickid,NUMTRAD,NUMCROS,VOL,OI,ALTCLS,RANGEMIN,TRADMIN,CODEZ,CODEM,CODEMTIJD,ZTIJD,BLOCKVOL,STARTTIJD,EINDTIJD,OIDATUM,VOLDATUM,HIGH,LOW,DAGVOL,HIGHEXTP,LOWEXTP,HIGHEXVP,LOWEXVP,HIGHEXTP20,LOWEXTP20,HIGHEXVP5,LOWEXVP5,OPEN,HOOG,LAAG,SLOT,TRADVOLMIN,LASTTRADE,INDEX,TCLOSE1,TCLOSE2,LASTACTM1,LASTACTM2,TCLOSE,FIRSTTIJD,STARTEIND,LASTM,LASTMTIJD,NOI,NVOL,OOI,OVOL,FEESTDAG,KSHAREOUT,TOPEN1,TOPEN2,TOPEN,BIDASKRANGE,FLINKRANGE,BIGRANGE,HIGHEXVPTIME,LOWEXVPTIME,HIGHEXTPTIME,LOWEXTPTIME,LASTACTM,LASTACTMTIJD,HOOGTIJD,LAAGTIJD,LIM,LIMC,BBID,BASK,KASPRIJS,KASTIJD,TIKBRON,OPM,APPL,ID,OPEN1,OPEN2,CLOSE1,CLOSE2,SETTLE,LIMPRC,conteindtijd,PRESTARTTIJD,fdatum,posthigh,postlow,prehigh,prelow
ES,INDEX,,,15041,,349795,,2346600,3035555,,,,,,,,,,,,,,,,,,,,,,,,1311.05,1325.74,1306.86,1321.82,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-08,,,,
ES,INDEX,,,15042,,373525,,2465538,3037799,,,,,,,,,,,,,,,,,,,,,,,,1319.92,1323.21,1312.27,1320.02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-09,,,,
ES,INDEX,,,15043,,531781,,4446813,3053944,,,,,,,,,,,,,,,,,,,,,,,,1315.72,1315.72,1294.21,1295.11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-10,,,,
ES,INDEX,,,15044,,376612,,3307404,3185922,,,,,,,,,,,,,,,,,,,,,,,,1293.43,1308.35,1291.99,1304.28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-11,,,,
ES,INDEX,,,15047,,427516,,3598619,3284797,,,,,,,,,,,,,,,,,,,,,,,,1301.19,1301.19,1286.37,1296.39,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-14,,,,
ES,INDEX,,,15048,,589077,,4993932,3377880,,,,,,,,,,,,,,,,,,,,,,,,1288.46,1288.46,1261.12,1281.87,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-15,,,,
ES,INDEX,,,15049,,833011,,5333644,3593893,,,,,,,,,,,,,,,,,,,,,,,,1279.46,1280.91,1249.05,1256.88,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-16,,,,
ES,INDEX,,,15050,,490994,,3457589,3760479,,,,,,,,,,,,,,,,,,,,,,,,1261.61,1278.88,1261.61,1273.72,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-17,,,,
ES,INDEX,,,15051,,429625,,2425699,3713038,,,,,,,,,,,,,,,,,,,,,,,,1276.71,1288.88,1276.18,1279.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-18,,,,
ES,INDEX,,,15054,,202138,,1489051,2567799,,,,,,,,,,,,,,,,,,,,,,,,1281.65,1300.58,1281.65,1298.38,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-21,,,,
ES,INDEX,,,15055,,211505,,1441918,2556010,,,,,,,,,,,,,,,,,,,,,,,,1298.29,1299.35,1292.7,1293.77,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-22,,,,
